$\pi$ [mas],$M_{Aa}$ [$M_{\odot}$],$M_{Ab}$ [$M_{\odot}$],$a$ [AU]
22.099782290372026,0.916925390746711,0.299702428205445,0.8608918861204748
22.42602030964229,0.8888087565342657,0.2783072411769672,0.8490650421985184
22.339038166971488,0.8923851897239301,0.2888409177169624,0.8524503421142431
21.768781025908567,0.9675314739908629,0.3015633526742465,0.8731075271146587
22.46580696107674,0.8793863036271957,0.28402304813973334,0.8481432276407781
21.898262581984262,0.9519862331560514,0.30024429905501643,0.8691571559718314
22.53224457528411,0.8698877551176063,0.2779163168144872,0.844320672525983
21.81672321147497,0.9596396246253522,0.3032849048688673,0.871713861683689
21.708484050977148,0.9907085587180678,0.2990842058669908,0.877791500580724
22.201021731337757,0.9034867336199006,0.294458294642502,0.8565077518212237
21.863298511050345,0.9725742257752127,0.29240689632018146,0.8720913261521639
21.846215209279716,0.9797499103164196,0.2875276231960993,0.8726308768074149
21.915887643872765,0.9460794882839658,0.30282062496252743,0.8684765001797135
21.809209018148717,0.9764876168832002,0.29678047564756654,0.8740342387644384
22.129324231148203,0.927185477981679,0.2878453905783765,0.8605120535868432
21.472251759222303,1.0140565977084628,0.31526553831186044,0.8866712096884376
21.485160562490282,1.018134477430249,0.3078500166386538,0.8859407815728833
22.17140175170018,0.9176332339382338,0.2910146495917832,0.8590354332396202
21.269912126425393,1.0503755793765082,0.31523077291024354,0.8946657345267466
21.957547527595096,0.9431058572997093,0.2973424805688126,0.8665334199047962
21.701278195614112,0.9883782227302554,0.3037124489085531,0.8783103145257168
21.807280999530303,0.9734089326043858,0.3006369811985607,0.8741929056512522
21.89914846922304,0.9578237267939811,0.2931003581473855,0.8689114483714512
22.023539293446028,0.9428179244809312,0.28910580761602805,0.8644573994204169
21.874113620553807,0.9546024075589842,0.30163022050228105,0.870129276071876
21.65646515215839,0.9945143993556302,0.303013916396065,0.8795687909171763
21.683229770936848,0.9921160441204392,0.3033313690721301,0.8791455710277107
22.164596806200116,0.9023473299130189,0.2998903647056758,0.8575003362244156
21.420590985555656,1.0345936991832436,0.3021968233424368,0.888389085052809
22.430035796218636,0.883378810382043,0.27993420322531576,0.848154207724059
22.068531135370456,0.9366499135233222,0.2906306957587084,0.863373788975315
21.83834115027972,0.9652996752555681,0.29523681326167683,0.8711735100530652
22.40787125513561,0.8866594635980313,0.2810271643480232,0.8492141275814205
21.916362726551473,0.9504740638817807,0.30069098745303247,0.8689930050298049
22.43759247754379,0.8815386011940085,0.28153140771994484,0.8480766773744896
22.199782555826097,0.911115157960485,0.2959372373373428,0.8585979405798503
21.523849099789505,1.014521161154334,0.30670028929490817,0.8848941116702529
21.616154707774644,0.9961100875346709,0.30641374291776535,0.8806919995480603
21.71381295498698,0.9814166914680775,0.30728641942231905,0.8775150669958461
22.102215542109025,0.9292233535202723,0.28848623495969195,0.8611023272944779
22.25487805818576,0.909691776464818,0.283526895242912,0.85529675806464
21.564276176233626,1.0024915463919049,0.308411094932649,0.8825741920167217
21.92541124019553,0.9517257641759267,0.2970837771292865,0.8683731566863808
21.721168244991077,0.9789665650008816,0.3074113038534136,0.8769897040976351
21.77077256467345,0.9665816430989904,0.3081339899647748,0.8744094527804109
21.30168913723154,1.056331162888135,0.30703466834879206,0.8941982470915494
21.458420877473994,1.0247996619176007,0.3055732495649874,0.8870012220609571
21.555159354308593,1.0151776416377158,0.29835955824264515,0.8831192763711113
21.866812366156463,0.9538946794964871,0.30602729268524564,0.8710399358449105
21.826436258243266,0.9674410739994534,0.29750581179499713,0.872121155280127
21.55900704733638,1.000669034346978,0.3125009217419655,0.8830987426251351
21.534354674997317,1.0047709030378802,0.313914413572128,0.884340407165268
