$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.953354892363186,12.885872919441814,14.059535200440044,0.7400360198957768,11.600773424487036,12.009591283124236,12.982338182884392,11.4435022440602,11.22139530382286
6.648086236061972,12.861884778622647,14.651245848693897,5.583336952142254,12.397071638529718,11.829908322079296,12.7184873166183,12.608456278565182,11.795201623350431
6.847561928915222,13.011089890795102,14.32271172300097,8.5403505276172,11.853466684604255,11.890058601561806,12.79178748329827,10.395363523662365,11.455702410159127
6.791250079767246,12.854414382221345,14.042872744663864,13.425616534375305,11.945699141495963,11.955488664700372,13.248216116106423,10.50531003915412,11.538057720344822
6.816535019972476,12.797496411077375,14.390248625332944,11.328226390387357,12.049862694423181,12.07670981174942,13.000227771647989,11.201902333344137,11.524730184037825
6.847366291625647,12.80604175871225,13.749289309493811,12.769986191677603,12.105424790586936,11.961230223585924,12.798775368296422,11.288361697420545,11.172393855000454
6.7063717369865605,13.031393753376847,14.309391244699716,9.26875702025143,12.130090118762416,11.775795419317296,12.761373339857801,11.580072602395253,11.857958700913667
6.8541424539907565,12.885862677124278,14.141798320695976,12.79530044646674,12.158471249171205,12.011295256815123,12.912156904244835,12.468807928399062,9.841267195361564
6.700561731177515,12.786291784418871,14.674903374721397,10.727755647225836,11.874403211729673,11.678816846007159,12.823303727194048,11.595097591409584,11.947896328170389
6.888435246216151,13.00604163847639,14.24279273515168,9.906673548173941,12.515433874915626,12.040196931689861,12.929440089013344,10.650568790579912,10.762117980703554
6.645240629857372,12.665497530212654,14.399292291087427,7.653559640670537,11.738240143435625,11.735258294569977,12.771919903521155,12.799950830891357,11.78119035624634
6.53030142397783,12.527136574787175,14.285992542351,8.674221975350068,12.459848822489334,11.798650469374218,12.924017814624712,13.891523471936647,12.525364997865676
6.903449658084349,12.677032359914975,14.779853111031356,11.27893313464705,11.951604130062744,11.952107324232845,12.898271220565988,12.211789020407519,10.07295520174927
6.713325135656455,12.881252050466244,14.36847222068362,11.698866052995507,12.078468234618922,12.189546279911845,12.601657335718489,12.759699859939854,12.308237386553202
6.7075147922594915,12.836541654941147,14.585639276992005,12.982523173718011,12.480808175563968,12.252576234572455,12.237015136706313,11.473773409270372,10.1816196113134
6.90189760587386,12.834338469885422,14.718316459028639,10.84353348851306,12.065048906746833,12.275145582929012,12.281861525753,12.806674239656532,12.493561555252784
6.744649671318437,12.997885053277079,14.2477889327548,13.287989669543276,12.284722329119614,11.640470879565486,12.800357683526979,12.84596013856515,10.944186823641639
6.793902028459108,12.667147852111826,14.477122286066951,12.529288246964477,12.0470076689167,12.155312851939035,12.880387400442126,12.292896115426458,10.348115147534223
6.773320364229122,13.015367986984067,14.207781515859995,10.60066552597257,12.354219773145267,11.661276646443659,12.80008494663516,9.905339751479929,12.386518508376785
6.813464685011379,12.716405956352407,14.33264966268247,15.581190191839712,11.753067767792627,12.075284559565583,13.00163192178118,11.752023875437596,10.523267922273064
6.799210092069705,13.028098520261928,13.794173974554846,17.71530808395619,12.353264232128726,12.169960523353868,12.733208408785424,10.579916198240596,12.16304942556215
6.7966865511925585,13.033339496759329,13.74214983554564,17.643093404194925,12.34811857751035,12.167465154669792,12.713736734217882,10.346049042865591,12.217224517663706
6.68540501339018,12.971310004850258,14.417085049151195,17.32930163602179,11.958105631851211,11.90566027332696,12.819313372373443,10.857963867583155,11.511644738961206
6.671159031469748,12.926443275908895,14.269308081210514,16.01509662871496,11.801041265041768,11.993082280669958,12.738303937413392,11.722936509838089,12.289885524860994
6.852873386242182,12.767854270823465,14.414060779137504,15.73754832078441,11.876576230868043,11.822057323708854,12.95787237790901,12.070675786698025,12.04933618405078
6.75891669222345,12.943758428648213,14.241186815603069,16.464961077636055,12.319212375718893,12.157313756683038,13.111227324296935,11.400430276838337,11.943906785493786
6.785330590278473,12.763280834273473,14.195171689683953,8.448979144052176,12.668012692060586,11.768180400055954,12.92298235411895,11.924560510289082,11.38988975364373
6.982696413916946,12.879062529483722,14.14211921328567,15.043549473472485,11.70550263733058,12.151679118821818,12.893255004076666,11.737158556072453,11.567436965349833
6.58693189237121,12.981008286093749,14.790310662293315,12.4730711620443,12.05261418731671,11.649549577616025,12.761018030940079,11.727948329054682,12.519782322191961
6.674002177908987,12.586617547672756,13.77429872603966,11.348498777272876,12.587685998151578,11.90806716149819,13.040164654647503,12.386018527891878,11.647614803839975
6.729549732228844,12.829258110724469,14.810115911925049,11.401161031415462,12.11103625470303,11.717445992612308,12.806802694055373,11.164659824942245,11.673392630619468
