$P$ (days),$T_\mathrm{p}$ (MJD),$\omega$ (deg),$e$,$\Omega$ (deg),$i$ (deg),$a$ (mas)
264.505237039123,48742.66362747224,68.61159268585601,0.4800969914996017,169.98118976049125,135.62685033134878,19.025523258810242
264.51155842175166,48742.162385656964,68.77308989149331,0.4812819784058922,170.34070002871468,135.58543953293926,19.04114988055126
264.5010132786265,48742.719649455976,68.78548109977388,0.48098609025511674,170.20369815503523,135.5519240094519,19.04292072793798
264.5116387881376,48742.39137771586,68.55842078176434,0.4797419269696606,169.98468435313683,135.7053607655861,19.006486569831534
264.5012612841649,48742.65002587717,68.75152692155528,0.4815355011014758,170.21925897336763,135.45038966375728,19.054222027522286
264.4816499346553,48743.44179598056,68.6949822922609,0.48101430148845914,170.16832131634746,135.5449210914392,19.033031626481815
264.4950070800649,48743.00442452496,68.65917906662574,0.48063231984047555,170.05573138839182,135.6192758658581,19.024439893323812
264.52239939733767,48741.90805085469,68.5990648906054,0.4798811146065213,170.05652750916775,135.69399704350647,19.01794003995902
264.49490677985466,48742.84221868357,68.87754962453532,0.4819578273500587,170.39214230079114,135.47020576678608,19.055522790439944
264.52622042335383,48741.84431200614,68.53724666284464,0.47932081667372217,169.93671142305158,135.71273462546313,19.015347211242236
264.47897489059545,48743.40159390401,68.91162202397598,0.48263940429370533,170.45518170183746,135.41997796605048,19.06679299256253
264.4844969592133,48743.2193925241,68.89719040222795,0.482651188422024,170.39607876339028,135.38674380616365,19.063681932997245
264.5230243095954,48741.88318216428,68.64472836363443,0.4805095899316767,170.11599649309838,135.64563552450096,19.033433399282448
264.4983487767327,48742.62221188424,68.93158184940154,0.48236595713882935,170.46582775290207,135.42581634796355,19.061995402232142
264.5038549371762,48742.528787108604,68.77144648003318,0.4815434662660981,170.23005069753586,135.48136450571772,19.04255023863443
264.4959441863546,48742.86030696239,68.72675857250209,0.48118125273397294,170.21939835159708,135.60918762607304,19.038827442084322
264.501440872916,48742.719282337464,68.70781232042751,0.48041566648885914,170.18542929793207,135.63355117831628,19.034579940951527
264.51904338557046,48741.91221960541,68.75193249542122,0.48122021655869157,170.25055897241646,135.562546936138,19.046019709301437
264.49573103080326,48742.980748103466,68.67245465984576,0.4804069671550491,170.1137644824168,135.62364522888726,19.029461555907726
264.53239218054057,48741.40444564074,68.67482785186017,0.48061573283807746,170.18496144548564,135.61457840966997,19.026948751809083
264.49392626525366,48742.917943445966,68.71587728250529,0.4820262163323942,170.14975103824347,135.44757357405416,19.06045647759991
264.4896010661651,48743.07801705971,68.72745193130869,0.482218723799106,170.16167685719276,135.43040440746105,19.06377034133274
264.5075216894773,48742.42862287769,68.61446297481405,0.48108002600339417,170.08136755151517,135.5764029217384,19.028420814494037
264.4927108624851,48743.08300670609,68.58852206814561,0.48108851856793217,169.98150357545958,135.49984962711014,19.03841150364572
264.50315798820355,48742.60860060202,68.79696324676844,0.4807952572232403,170.29161013733778,135.62968358586218,19.033306649366445
264.5066038212799,48742.47131326189,68.65033920740485,0.4813557374133395,170.07423170836486,135.47040695409086,19.048350869423917
264.5279214045235,48741.594831698574,68.79083224605878,0.4819080484288996,170.2573329760225,135.38778557493364,19.062715418695333
264.51268430957106,48742.29058772419,68.65282047901928,0.4791506007965215,170.12160767372947,135.836254331229,19.006149213595208
264.52295572550605,48741.77223339025,68.77884054327161,0.4807706410832093,170.30905990606885,135.62859068910316,19.029819226948238
