$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
344.60319003129143,104.54076650217665,22.21378997125376,65.59009395053624,314.87869611072904,0.7573073937906907,48709.06767850043,0.7863451475489125
344.4757962173706,104.721517379679,22.105760661470175,65.46392738099527,314.87842328048237,0.6094482117546915,48709.2258525677,0.7843159158981279
344.0178381502611,104.9280357053849,22.023702158345536,65.41038082369668,314.8784951339589,0.6256993871648904,48708.89491743548,0.7809144451304721
344.2428425544106,104.60634176750145,22.208169065300062,65.6724207070811,314.87831235329776,0.7270811842937392,48708.601754856296,0.7856449461751689
344.25009275254854,104.51637490355219,22.246718320096125,65.72003247799553,314.87832029874977,0.7226999228772106,48708.41898643458,0.7861827537402033
343.7677035737235,105.13618749637133,21.88591784935254,65.24964712099312,314.8785312456916,0.6213213274836353,48708.74729374237,0.7783339882334055
344.17518980308574,104.6193354723838,22.204571633383907,65.63133040771743,314.87839121301494,0.8101892641868225,48708.52940566046,0.7851913688129011
344.17518980308574,104.6193354723838,22.204571633383907,65.63133040771743,314.87839121301494,0.8101892641868225,48708.52940566046,0.7851913688129011
343.85920337019564,105.13592315660236,21.848551842126867,65.17656052441224,314.87857463316755,0.6540022784706231,48708.8765715505,0.7783470226132989
343.90536775887983,105.09472632231567,21.87509271272817,65.20516102638534,314.878538594354,0.6574473239798009,48708.88499264559,0.7789045514571729
344.0779426220578,104.74012399377676,22.097858338110292,65.53708969465009,314.87848928855954,0.7037977955831355,48708.54131199466,0.7833095122186415
343.5555566960669,105.4278183479556,21.683384525119845,64.93410379364805,314.8786690589052,0.5962496039755117,48708.90603563655,0.7741301943604333
344.3395563276226,104.441655461407,22.3087510128985,65.79185479297031,314.87846398457464,0.7796640696286834,48708.503347774036,0.7868823953451949
344.013498292682,104.9666313066424,21.981412159953624,65.34546385731664,314.8784497508439,0.5914743362768613,48708.91708053835,0.7814069240602124
344.25257541623927,104.72649348684668,22.093310282965707,65.44804829476978,314.8785450000004,0.778121753428208,48708.77464761725,0.7826673258453674
343.9241389725366,104.91842928309107,22.022724445690237,65.42297259756225,314.8783336904299,0.7321412080175231,48708.64585006656,0.7817732269421467
344.25922673089343,104.67093713132431,22.15625366395245,65.56229687463443,314.8786607812397,0.6787167839902813,48708.7432237817,0.7840990975784228
344.39769762265183,104.47461122808336,22.306328196433107,65.7886710877095,314.8783191293958,0.5439204145618324,48708.72688282048,0.7876136464724008
343.78016889090014,104.98968191329075,21.973428632782742,65.41744914126456,314.878340433784,0.6967025877295078,48708.49355034763,0.7804444840846869
344.7015419539393,104.32978849286523,22.37373432727153,65.79805015065168,314.87865258976177,0.5600215922733015,48708.94705936778,0.7895751658559611
344.45156158583575,104.34797954859938,22.428301209778443,65.95895749028134,314.8782098559702,0.6870548269634089,48708.63558148965,0.7890070209850403
343.7326110230163,105.3137998042363,21.69240176665537,64.91753040536582,314.87874992556675,0.5575900550796509,48708.85379908187,0.7756194242359249
344.0953210757754,104.94092497918123,21.951099241472317,65.27077320594003,314.87874809833716,0.5640073522758569,48708.84395371098,0.7808871714331649
344.07179860437293,104.61345489327746,22.21968379969148,65.69904679711037,314.87822649519546,0.754872924282293,48708.38875421509,0.7854050245809694
343.99193360650713,104.6699421790746,22.19373549290808,65.67690302453543,314.87819920673087,0.7516713697354789,48708.395128439646,0.7844729683987365
343.9898377744388,104.91267620800794,21.98741540492532,65.34396252382611,314.87870549382063,0.5937004093669149,48708.70238349959,0.7806399684520648
344.3847922105862,104.4893064432485,22.307567535761507,65.81052612970603,314.87845260538666,0.6147786510007902,48708.78888400644,0.787707219130167
