$a$ [AU],$\pi$ [mas],$M1$ [$M_{\odot}$],$M2$ [$M_{\odot}$],$K_1$,$K_2$,$gamma_{TO95}$,$gamma_{ELO}$,$gamma_{CTIO}$,$gamma_{MCTR}$,$gamma_{HARPS}$,$gamma_{NIRPS}$
0.9962787979845527,22.296760722191127,0.7290374098950586,0.6015909555482727,22.938729410238963,27.798276754814545,5.762042198054245,3.438828179904749,7.010435622002218,4.882160528837014,7.156685277524236,7.117071053841516
1.0022441181625932,22.056263799279265,0.7529569183253266,0.6017190110482712,22.55459461025228,28.223535803242545,6.019375524364432,3.9210757835107133,6.679127589203292,4.675188379611626,7.608603439274507,7.058681406441357
1.0109126073690065,21.78596052497976,0.7731743538883453,0.616955933584572,22.565572770185522,28.279365181463135,5.82829395627218,3.8654490348519435,6.47973374267976,4.516782536207051,7.1094582122412415,7.05680688827342
1.0020567189480034,22.162586852982763,0.7596497950285336,0.5942673400196214,22.38122591340436,28.609840273307903,5.935259220132972,4.1544348065069885,6.398267943036254,4.648124988853956,6.947616894414002,6.90799154043808
0.9999912058257991,22.246913963332954,0.7527486329763159,0.5928132988853728,22.452013138915248,28.509350633094826,5.92613458266392,4.344069713686583,6.476647328249973,4.699254265696329,7.182417525445697,6.908092597270777
1.0092797335924328,21.684689705847706,0.7800411321606049,0.603363500553484,21.998243319136503,28.439795593307725,5.908186814386598,3.9909732727393314,5.876626160772032,4.72533720205912,6.9714185178350485,6.813102384214229
1.0058567663734717,22.075281864872817,0.7480446021072599,0.6213335014842769,23.195003047126356,27.925255573400598,5.32194973057892,3.5763869508333817,7.105057676841189,4.757604663653811,7.245985384778566,7.277357055101419
1.0058567663734717,22.075281864872817,0.7480446021072599,0.6213335014842769,23.195003047126356,27.925255573400598,5.32194973057892,3.5763869508333817,7.105057676841189,4.757604663653811,7.245985384778566,7.277357055101419
1.0215971132256427,21.38666168812981,0.8003278828442436,0.634346749102078,22.56082047086853,28.464012321711657,5.974171812188162,4.202669086414954,6.48831852505202,4.711149404573288,7.499882653345907,7.124883823599447
1.0207177195029824,21.431089413613588,0.798697430026083,0.6322758016624316,22.555980824323363,28.492951760508774,6.000938289978558,4.218379322500427,6.496480834950491,4.615940374103181,7.5785776781668455,7.129438675450537
1.0092392370804255,21.895560067636698,0.754889696869971,0.628348787265269,23.193447275852204,27.864292473037267,5.654997302632524,3.8338462568750082,7.157581420714818,4.550326994908569,7.333625478060897,7.287772244516521
1.0076825144357975,21.51807162919801,0.7731064324582736,0.6037395301961545,21.84530804779433,27.97356695410543,5.725640960393356,3.9204631814196986,5.975701810295057,4.841091781507926,6.430070606830659,6.9067534940257715
1.0041575508750085,22.21638526091745,0.7557323207853692,0.6067169105087811,22.83411187088359,28.442385663496104,5.5874304100361005,4.21683967110068,6.671349167872165,4.775835599758164,6.794861091626483,7.0092856745032295
0.9996411285837219,21.98930349244093,0.7407915951779686,0.6033565618821275,22.579187266838087,27.722367187067675,5.625211461210673,3.0454275999709512,6.677396808756852,4.918893769549136,6.634724224476537,7.124795855771223
1.007475029124266,21.929387472928255,0.7627174212815923,0.6132793087132818,22.670991813997134,28.19524508424606,5.937428782183756,4.087762244075995,6.503684232147505,4.451310061752108,7.450378855448751,7.096531661000952
1.0053066334305825,21.906474814095542,0.7451395885845931,0.6219933824785325,23.046220941124446,27.609058350539286,5.44155540774264,3.5077377800719383,7.127434262342404,4.382189139504336,6.583754195487152,7.264610901345867
0.9994549523466916,22.168336463719754,0.7523224994625856,0.5910729819265309,22.28697452755788,28.367042471441238,5.920756894871173,3.857076520885922,6.249214817703173,5.005062406573487,7.201384618178967,6.904540569153179
1.0035748535167173,22.226870390651467,0.7515219816914005,0.6085580513224782,22.964165895127234,28.35896332961495,5.405795764446434,3.9495350385175327,6.660920997803497,4.366427999967103,6.5512418171000935,7.147375617716685
0.9965370736337975,22.049785416069156,0.7285481274139148,0.6031183723731188,22.68043530059871,27.397256366385747,5.452749894219184,3.785301860146151,6.701990499842135,4.679259084792112,7.098902087039692,7.102356319412032
0.994768376317665,22.491400872726174,0.7367580317712185,0.5878279200593508,22.67062843266506,28.41438287140311,5.925402598347057,3.5547382821489726,6.425978456494812,4.74511858499211,7.264781987628871,6.964251287925069
1.0018115378428483,22.387744962562728,0.7573600381937919,0.5955644001037173,22.64868147936421,28.801597723542717,5.803759401770751,3.8191219553679323,6.410154156264002,4.591850794635013,7.2126385891887566,6.9679212491753
1.0084021249605364,21.511658126964285,0.7627584084657582,0.6170386697312249,22.356122347103295,27.6357400880079,5.530401395339835,3.9548528552475926,6.628860244781718,4.918406809521197,7.080237530858703,7.121840974924412
1.0043629861006254,21.855742938811442,0.751484740339502,0.6117984104849992,22.643169496832467,27.81307708253305,5.757257549997762,4.257717451856461,6.71879539014855,4.8365971887609325,7.304919620966201,7.046637700960179
1.015787022466206,21.87435289904061,0.7878428038678161,0.6224957833355504,22.808411850611677,28.866770868504933,5.54149145729097,3.6251313455453458,6.533979942582635,4.5579791533479215,7.360115328653522,6.926189792120438
1.0132023884136496,21.90454320548569,0.7803116971551572,0.6192888327204986,22.759421345244785,28.67715637332116,5.567020487259984,3.9551385921429194,6.431344394587076,4.714989677292864,7.221139201355155,6.98718160607481
1.0046004970603273,21.88672558819663,0.7537621942730397,0.6104887188062414,22.586110704880138,27.88676652091837,5.786845869175089,4.009600637643848,6.6891218766536475,4.790815610365277,7.210759855149566,7.135992333115629
0.9963352903887149,22.389618987658594,0.7346884941858833,0.5961682959698729,22.833107145751956,28.138398535948255,5.814464834782304,4.2290201592024115,6.839901154934699,5.038422442102613,6.998443569262952,7.108186971481087
0.9983637857129812,22.697239672356186,0.7396515202215403,0.5993523308359289,23.248745419009897,28.690920194521762,5.4609155867406,3.4947238440327917,6.5727723993640925,4.705781842674249,7.231276853007151,7.030069976404746
1.0002730140709684,22.712724333291774,0.7434072453182415,0.603290999183543,23.39019826115295,28.822645920963,5.4458488560720575,3.6871542620331814,6.789922266393436,5.086265768154209,7.236052802501337,7.068933066286522
0.9998891879631627,22.77822047597116,0.7484008404001743,0.5967481123718829,23.211537576385087,29.110329582946704,5.646270313308785,3.9540706262450778,6.483534941412782,4.29034928686717,7.101496170715623,6.9506275266545785
0.9898472093676305,22.55184920806182,0.7180013905741728,0.5870253836067565,22.80986689735267,27.8991617883464,5.573439913501158,3.4001382191302847,6.826050490632516,4.799263036953131,7.390158526051516,7.086955926490633
1.0202557491004194,21.602805831425602,0.7900281214504832,0.6390026368253692,22.986201537276383,28.418889959509645,5.757227872065696,4.177388424409171,6.7586145976712135,4.866060187774158,7.525698074401756,7.13063594734902
0.9960861337022608,22.070590627172816,0.7369944048075646,0.5928654208803521,22.334257124645482,27.763843119666596,5.512161354227966,3.614158998908949,6.570690936434673,4.522344348578345,6.9304734654601665,7.005697070556459
1.000853657822182,21.9401122606357,0.7465521331935396,0.6024922730733323,22.464710895143465,27.83617083551246,5.569483453312282,3.673421254379873,6.463689124714605,4.864380309702979,7.144418230031546,6.9688615388005335
1.0221696844632973,21.462591428628997,0.7960884284301482,0.6410006644471931,22.82972710241681,28.353295992487087,5.76620454267515,3.7154954041663775,6.758581593775713,4.726504466274814,6.901947703691416,7.239626586227482
0.9971950330515842,22.103281154196214,0.7320296339404072,0.6022739127312733,22.732706369809478,27.630309682351122,5.43754349480447,4.025703273451997,6.877168245921899,4.752823516129316,7.02522520121478,7.149790321971223
1.0279579969299537,21.0388198617597,0.8162121485596416,0.645429628512615,22.325904560044105,28.23340256548966,5.839312449434632,4.501737925138512,6.450648289727208,4.913114250752402,7.521814175605458,7.070428860447437
1.0040064120286751,21.768657781513053,0.7507986222602516,0.6110352140936257,22.51848145389112,27.669182497203725,5.469202241807916,3.978497386245521,6.885080763735774,4.654665357646354,6.859944758085028,7.12339242187525
1.0111889143780475,21.769073955442735,0.7737507237697425,0.6175195382903809,22.549967487030738,28.2550633335094,5.617426842522762,3.6837410567662046,6.03827318895242,4.780353009365927,7.600522714225528,7.1037455519522075
1.0143226807961188,21.675706338867226,0.7773535257889983,0.6268935294338596,22.73923978823685,28.19685862623398,5.508372592778024,4.17349620384889,6.158686281875493,4.672153129489256,7.873524024136859,7.1549648200687415
1.0138979198745337,21.28415096775465,0.7780045093379638,0.6244776429017186,22.20318970904528,27.661809692748506,5.699818190755688,4.0580351788553815,5.914910648489892,4.674368717610376,7.74945813437737,6.943215707661389
0.9985733357283444,22.34527876121894,0.7378416813466238,0.6020036466597478,22.938567203436435,28.114499118029556,5.578550677616627,3.604514407859987,6.886042746866586,4.6791297070666085,7.18958329302009,7.25611137528804
1.0216189016305568,21.169685786732266,0.8104359949213809,0.6243314200986124,21.95777237598106,28.503081102300875,5.613097910413679,4.373408618969506,6.037665140167317,4.745311695785559,7.286984529080986,6.951978314403872
1.020928494691143,21.49193365696312,0.8048360589223713,0.6270230967609486,22.43293934484123,28.794534979036012,5.54037141854045,4.1480790094358735,6.003922302191505,5.061498947745724,5.548917750791327,6.923677221034552
0.9977066953594873,21.85362628242977,0.7271948803577409,0.609167185557217,22.622846865116745,27.00608110461797,5.937716526701213,3.8220212263608966,7.234095848960878,3.942618509432836,7.931606604707611,7.268964488454646
1.0040533649381718,21.859212058592288,0.7547578487130786,0.6072694320913806,22.402430534576474,27.843341658067818,5.699552037148109,3.619342771328391,6.38931994512732,4.105114293280761,6.337021378494353,7.114701957004073
0.9995864408517587,21.81391304318107,0.73427176946696,0.6096575777829398,22.56767975626657,27.180520264602297,5.749030266099102,4.048468860314717,6.733659073698468,3.7212039485866724,7.259809533908468,7.168414208101081
1.0121050666931062,21.87870610902768,0.7796028537836447,0.6154517055116977,22.6307523221504,28.66674823648524,5.562562500416848,4.20929863733461,6.647186429788387,5.586681460218216,7.385299976960794,7.039875527278304
1.0153740352589187,21.485758260011416,0.7967175298659348,0.6118991736430507,21.978598739880145,28.61702654981306,5.636850532055429,4.328317780942605,5.946703718749617,4.85614600293597,6.793853230982991,6.917812971855652
1.0059563362573476,21.94903078359459,0.7490256930675334,0.6207581772789597,23.017294216247528,27.77336712411359,5.524899869368114,3.8900218039496375,7.127623454703374,4.6770597407072945,6.717712287601612,7.1232034625154395
1.0019209351894716,21.873537790660706,0.7492848896853038,0.6040797611350974,22.415403608903517,27.80348606414022,5.801427038632818,3.7204223646987575,6.426334847920563,5.001705809745218,7.357075294166899,7.073343134221092
1.0091994269852131,21.6126323422624,0.7663585792567735,0.616716892793278,22.414221261112814,27.85286240986945,5.831376358403947,3.7106983322299625,6.430930854152884,4.906319046125821,7.5908018025294535,7.0394722763201365
0.9925698170000633,22.404691523611177,0.7203741407194746,0.5954517443527723,22.912032949887955,27.7188474212167,5.754902026123055,3.707801826209469,6.793462194063482,4.552402481423133,6.8192139439732475,7.138576959038392
1.0182728134839616,21.252782821511648,0.7891325893916575,0.6315814332484532,22.313588902303934,27.879825565057775,5.538355326359701,3.884973157895277,6.583973583300207,4.836242168813821,5.778010458861422,7.088345123233617
1.0179557256384337,21.144010922636454,0.7852963315619212,0.6340914375791393,22.28297451720768,27.596553284899063,5.571574827162358,3.8129885401818915,6.6839319952956755,4.682882754975582,6.071788273146085,7.1293676283616065
0.9997718558843482,22.336883028570167,0.7486294020364948,0.5960469134777355,22.659367674604304,28.45995590143719,5.547258214954454,4.685626347906508,6.493709774464394,4.635623266716784,7.214583570818018,6.966407559777173
