MJD,Aa,Aa_err
54308.4955,12.156,0.8
54309.4913,12.218,0.8
54309.5368,12.247,0.8
54310.4710,12.036,0.8
54311.4629,11.713,0.8
54312.4900,11.572,0.8
54314.4636,11.270,0.8
54315.4672,11.022,0.8
