JD,year,rho_lo,rho_med,rho_hi,theta_lo,theta_med,theta_hi
2415154.8925,1900.3684650362122,0.11091340676691264,0.34934571301495176,0.6896947176276256,181.9902438542368,5.861770826979355,172.22148712401872
2415379.406823308,1900.9831648821157,0.1156818518642764,0.3674315509711333,0.7222567828962352,181.9494067934063,184.07070378441125,171.85117532708557
2415603.921146617,1901.5978647280206,0.1251218576664124,0.39053636493091204,0.7536091417212847,181.85889222172514,183.81936226341546,170.71083702647925
2415828.435469925,1902.212564573924,0.137045584500463,0.4211362880670637,0.7836463854259823,181.84577231451996,183.67956937544312,169.04297742564674
2416052.949793233,1902.8272644198275,0.15132175306676243,0.45632851655968604,0.8124349595302222,181.86834647018773,183.5976248547263,167.05012858160086
2416277.464116541,1903.441964265731,0.1662746516484071,0.49341582890466573,0.8399527666306308,181.8964245341766,183.55366830071708,164.79683479814585
2416501.97843985,1904.0566641116357,0.18259459284690313,0.5319279332703135,0.8661575588873082,181.95196427679244,183.52068991919492,149.6787115247781
2416726.492763158,1904.6713639575391,0.21099681592618855,0.569581346913336,0.8910806785255355,181.9940558667042,183.49709579598058,71.40696559058219
2416951.007086466,1905.2860638034426,0.24597715903921466,0.6060320903559301,0.9150900053179138,182.05261786466005,183.50102219181136,28.187308014977265
2417175.5214097747,1905.9007636493475,0.2856227366360521,0.6411747569119041,0.9378844744916125,182.1099405068803,183.5121008813409,10.158014862639881
2417400.035733083,1906.515463495251,0.3284692383001908,0.6748634765196555,0.9594357217237777,182.17098375457093,183.53098191878232,184.62397005867695
2417624.550056391,1907.1301633411545,0.37143880454672057,0.7069701590031751,0.9799757894018402,182.2667893233458,183.56867751341966,184.5416609066086
2417849.0643796995,1907.7448631870593,0.4142543908671631,0.7375405457588601,0.9993842050551649,182.37617364421234,183.62104884016972,184.50061075267934
2418073.5787030077,1908.3595630329628,0.45584226620149104,0.7668456649990478,1.0177734929622593,182.49031134087306,183.6726437731465,184.49120522186206
2418298.093026316,1908.9742628788663,0.4960376236605307,0.7947815816563651,1.034915030772933,182.5876583963888,183.73136201530133,184.49184354278862
2418522.607349624,1909.5889627247698,0.5347678907615239,0.8215189036513318,1.051009683806531,182.68694446789257,183.78718414598913,184.50122948545436
2418747.1216729325,1910.2036625706744,0.5719762072587494,0.846642730302001,1.066148140475389,182.79423046269872,183.84891737451522,184.5215805745729
2418971.6359962407,1910.8183624165779,0.6074617490874177,0.8706434076117958,1.080667210081504,182.92996937292438,183.918503922695,184.55874914386692
2419196.150319549,1911.4330622624814,0.6415676150826446,0.8934314783860564,1.093969856000676,183.0666905669414,183.99372822352984,184.60054113676765
2419420.6646428574,1912.0477621083862,0.6741215493825478,0.9150163668576352,1.1065001287226703,183.19062353990714,184.06503987870946,184.64095981427292
2419645.1789661655,1912.6624619542897,0.7051950546828055,0.9351404097411624,1.1182138819415572,183.31702550895932,184.1370111776472,184.6890660417854
2419869.6932894737,1913.2771618001932,0.734637698180558,0.95424788364157,1.1291144647478641,183.4367652111188,184.20622804146316,184.73641861527545
2420094.2076127823,1913.8918616460978,0.7625560960567515,0.9722828152275846,1.139174030755109,183.55122837674537,184.27516811133526,184.7854220498548
