$\Omega$ (deg),$\omega$ (deg),$a$ (''),$i$ (deg),$P$ (years),$T_\mathrm{p}$ (years),$e$
184.81743279313233,54.098604718521926,1.261514896050911,88.17994857497793,262.4583490648866,2020.500561798676,0.49172068812805675
184.57621611368165,55.80432083877255,1.2288878437064386,88.11052657956469,252.74756961383565,2020.8771445041173,0.47866316859921026
184.6534112131751,59.67280967445077,1.1584583196873866,88.0565395989485,233.92555686352722,2021.8601549570342,0.45700982485346886
184.56841454518386,56.07574657721356,1.2181292284689023,88.1063915309223,250.20390060734363,2020.8724232045054,0.47085420474144674
184.846726649343,62.8931716267069,1.1115679445171347,88.10824844669428,220.27536669279797,2022.6501322725394,0.4420564747334632
184.37570407963923,56.00316175976852,1.2204655359061205,88.0042544251093,250.68398044694865,2020.9014933454189,0.4742792233985611
184.59321495863637,57.591461208002265,1.2032446870872338,88.05870776031058,246.41029100667302,2021.362929066933,0.47375863426834913
184.67730108098942,58.397813448810545,1.1687165780903672,88.11793109945793,234.96751620595077,2021.4654761766487,0.4534205919018364
184.69371963691876,58.14533421405289,1.181053823868627,88.13586740738587,240.22049268215764,2021.4840923498646,0.4642461458474021
184.6516371172014,58.68319407562893,1.1750789487757836,88.09813810269785,238.41584495205893,2021.585389861879,0.4606380668482377
184.58582571276975,57.478171239366645,1.195875052966206,88.06360584434053,243.86747768977241,2021.300784816006,0.4682982698956266
184.71642597283355,57.45247196018057,1.191238447533716,88.1268553198675,241.86187331406077,2021.2595615662594,0.46361859932395943
184.61423754802212,56.63551825433033,1.203206374788397,88.11158661823639,245.44780572633778,2021.0147079223502,0.46516043773546445
184.59212717572885,57.87889072235305,1.1946690862338367,88.02983243723968,243.4315445127201,2021.4203116803694,0.46949277052864735
184.66836846284573,58.61070222789922,1.1722307726086554,88.08962998068846,237.73490032555458,2021.5565313081702,0.4583702994740806
184.5440724412925,57.54753872398022,1.1916598587981597,88.03428438996596,242.7905527873007,2021.2774303239896,0.46408585042533695
184.67297878085662,58.10782389523445,1.1835444457410373,88.10301092971415,239.66261066808192,2021.4809392121783,0.465283560817986
184.67717802368762,59.226734559940525,1.1643549281214975,88.05299240408269,235.7623703579883,2021.7242098562087,0.4572226580566794
184.54427126221157,58.47691377512262,1.1760438038051626,88.04583492507105,237.47504235468847,2021.5616624957809,0.46206438144251655
184.73278453341388,54.90199386256761,1.2470371549096577,88.18172103929003,258.33396945864723,2020.67324239981,0.4857686104059618
184.59315991325866,52.89776645107039,1.2853420546208647,88.13101107338161,268.9549978649293,2020.1269591721366,0.4954569575775909
184.6675878154849,53.62717367247906,1.2723796402613263,88.17148409152993,265.0030523635545,2020.3404608534847,0.49283538940646876
184.68780858733635,53.91799886167406,1.2692601755247954,88.19334207376343,264.25295388962604,2020.4188289236938,0.492448659530629
184.58777247058822,53.61874687130875,1.2743299514872999,88.14170099247836,265.8969971363991,2020.3500778474204,0.49437882889295237
184.78411555953434,55.866848001059076,1.2294744156410853,88.14335232597388,253.651435998606,2020.9198990393973,0.4807084793148485
184.49512737571186,60.6184185712854,1.141143704406322,88.0081619772123,228.47218121334205,2022.0584684739406,0.44843817221558974
184.75956434864176,58.32731796716178,1.1812017560283623,88.11387369034512,239.81657998361166,2021.5152193974168,0.46364773742472526
184.6445054696587,59.72324302781493,1.1567084709857791,88.0455010579015,232.72322677645266,2021.825916757516,0.45284150632745584
184.6748234255062,56.577862330150374,1.2123711756259847,88.13490896334706,248.32342107952553,2021.1008647741323,0.47493120425509466
184.67295981468243,56.80890528471321,1.2165074684109063,88.09809045262475,249.7098439156733,2021.1983892847934,0.4795315987264156
184.70491634009403,58.64363213408422,1.1720647563097932,88.06121153521198,236.8559721844927,2021.5801027372559,0.4591207315332655
184.60742296852925,60.90250019622146,1.1366600512085603,88.06074113585224,227.62851023213594,2022.1590555379291,0.4493254677992917
184.6076418699302,56.529391837298746,1.2134309499038813,88.04483039236054,247.9448188454748,2021.0508502503535,0.47284114966330076
184.69869682242128,59.609566150266176,1.1563239133348624,88.15856037424571,233.46103046265839,2021.783713491196,0.45161962533750544
184.5274272891232,62.7568025728032,1.1158289942718387,87.91158592608231,221.56073393731924,2022.643095469867,0.4465902953695708
