K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
4.001587040463215,3.5042763598009645,8.92617293430546,21.893667605525224,1.296626520706215,1.4806377548012786,57.620080782287346,45.675307491543066
3.548601303717642,3.7990604271650255,9.145536819735744,22.436101348912295,1.3300379736039312,1.2423530969332122,54.77278893491962,44.57102347901812
3.8554582931947747,3.6955729560652264,9.28936531330072,21.949299962180756,1.3149698370417886,1.3718607165373637,52.77882764750775,45.559539562675226
3.803386591614148,3.5757438634816285,9.211383934625136,22.263103013384384,1.2679801975502367,1.3487036728349842,54.715159326019084,44.917368409911624
3.8376537455455275,3.8406640590505896,9.281077283548347,21.811337163432498,1.3645389762900277,1.3634694502795897,50.962851850308326,45.84771637369104
3.704448672460942,3.619966647680942,9.169069705925084,22.47482557912328,1.259454313003788,1.2888471944405901,54.303671083427794,44.494227395868805
3.8079360022591344,3.7042385433164924,9.468948636386077,21.97231171715859,1.3337259487047284,1.3710626348250337,54.7618613178329,45.51182473981931
3.7141927876822938,3.7920870882495428,9.260166418491146,22.13203277191576,1.3474665767714933,1.3197878963792107,52.80656278321616,45.18337788063195
3.683307922285667,3.662872953601774,9.2203873173425,22.49467566946088,1.25062296362219,1.2576001210122236,52.50370537558111,44.454964129917
3.4610184835982527,3.985370216964004,9.497039266098176,22.1991725173921,1.396561040827947,1.21281670525978,52.93345722031574,45.046724116249955
3.5974018643362053,3.7566961251141646,9.295363600167255,22.46542131160029,1.2956837201789921,1.240743162429814,53.23181062928482,44.512853159074204
3.926848270298898,3.6287136684769274,8.553757445736311,21.90195533822564,1.3210369012506484,1.4295731062336667,54.38959349235084,45.6580238867848
3.8717749696230785,3.6962122346276507,8.478177259948843,21.78269503429891,1.3663442922290199,1.4312429305273924,55.23680026249437,45.9080016694631
3.9287747405192355,3.570431114991879,8.665675438731878,22.063307891074377,1.275554677415229,1.4035747604085935,54.14732424221552,45.324119344975735
3.677375774110279,3.674404141722347,8.821479148154035,22.464792002673207,1.256484376179185,1.2575005435693716,52.180797955715114,44.514100102996935
3.7879796741878167,3.692876644554689,8.809781357567886,22.048751286962904,1.3221211704199107,1.356169892040341,54.046591722533066,45.35404236662078
3.5919561541899725,3.845016306664622,9.032074430395175,22.332057728725445,1.3399399484439227,1.2517516598605034,52.997554462644025,44.77867700985354
3.8260798557850544,3.652480603258699,9.050494388192549,22.103934647027348,1.284353959151937,1.345398194975973,52.67636494202565,45.2408141794106
3.576255013494832,3.8505151728069684,9.149152274415666,22.382356312551224,1.3336823066810923,1.2386882849758127,52.54334205848019,44.67804846084216
