$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
21.893667605525224,1.296626520706215,1.4806377548012786
22.436101348912295,1.3300379736039312,1.2423530969332122
21.949299962180756,1.3149698370417886,1.3718607165373637
22.263103013384384,1.2679801975502367,1.3487036728349842
21.811337163432498,1.3645389762900277,1.3634694502795897
22.47482557912328,1.259454313003788,1.2888471944405901
21.97231171715859,1.3337259487047284,1.3710626348250337
22.13203277191576,1.3474665767714933,1.3197878963792107
22.49467566946088,1.25062296362219,1.2576001210122236
22.1991725173921,1.396561040827947,1.21281670525978
22.46542131160029,1.2956837201789921,1.240743162429814
21.90195533822564,1.3210369012506484,1.4295731062336667
21.78269503429891,1.3663442922290199,1.4312429305273924
22.063307891074377,1.275554677415229,1.4035747604085935
22.464792002673207,1.256484376179185,1.2575005435693716
22.048751286962904,1.3221211704199107,1.356169892040341
22.332057728725445,1.3399399484439227,1.2517516598605034
22.103934647027348,1.284353959151937,1.345398194975973
22.382356312551224,1.3336823066810923,1.2386882849758127
22.238861663906626,1.2882875580182365,1.3538406644233485
22.26818666811368,1.3000463352674128,1.3585889164284726
22.093611840755898,1.2979727078681145,1.4220005032248482
22.159652395578185,1.3867222050012977,1.3044397458366526
22.882349149266226,1.1424045345683074,1.3006512714754586
21.87082520432722,1.399442954354031,1.3618007116120927
22.599336762869314,1.241703303797058,1.2248112552675814
21.795998416487684,1.3493689420945625,1.4182095251284488
22.203335113177914,1.2917570165500878,1.3189254465507216
22.101169997402778,1.2771402750152876,1.3998207675235643
22.453819222387196,1.2580591196187816,1.2924022590711095
22.659534461117804,1.2131624764878144,1.2537264594293107
22.23618927496708,1.2939906865429853,1.2839551958620936
22.349563612462184,1.2947005075267368,1.308720411697169
21.957886306469863,1.2738628632441709,1.4056419020322495
22.540932171998378,1.2309668018386446,1.2402345017112473
22.46538771070383,1.329411175295931,1.2236644510483285
21.992378114585375,1.153618651106944,1.5310132339591105
22.101258584517648,1.2320514312087036,1.4267121420464643
22.22198310026219,1.2411875105297554,1.3788792419293854
22.18807628387975,1.1890632394132015,1.4203878288886331
22.165583417669293,1.1901602008509016,1.4216019277330587
22.637099486633964,1.2817587916095228,1.216784530388835
22.59012286588125,1.2827247063599654,1.1984149700098548
22.150949380527827,1.234798513909159,1.3948373929184037
21.925543928178623,1.3525955777781773,1.3817017063386048
22.084028684674056,1.3568470583868002,1.3147611974862878
22.157906443599828,1.4100156112306852,1.2483615903168237
22.24959838099429,1.2175559421732578,1.3459117485967933
22.07352977403874,1.3436235583925038,1.283198223096967
22.361627805640353,1.1846605538770478,1.3433684849039624
22.253554315383298,1.3366877159035182,1.2749112045991382
22.154386634479454,1.2909610474126672,1.3345263184292224
22.374409665756737,1.1905561271338851,1.3670007112039988
22.063232664170005,1.3524662126698284,1.3017488845249052
22.000834925789384,1.3584137056258638,1.3593067561413414
22.165804462246996,1.3290488860216318,1.3340333712145804
22.33272621582137,1.198718905708455,1.3289148064128662
22.396604280271752,1.1188556094243154,1.4293499404619654
22.326326330591307,1.2653878387216344,1.332395972944028
22.23448755098548,1.351993127672014,1.232987906908447
22.4190232731412,1.2480634778623287,1.245505276493733
22.277709328472582,1.3325126303988488,1.2365186492434053
21.999722860639096,1.2988468783455722,1.442322830848105
21.75416715840606,1.3142693448215137,1.499965953136182
22.922016011774204,1.263405859749275,1.1563701087803209
22.353981500937703,1.3797979679258374,1.230635832549008
22.48452770736512,1.240311967053611,1.3117313534336308
22.562874569443263,1.2864683024652093,1.2347529839593816
21.70613836353899,1.3493889158341161,1.480203073581454
21.977978509704826,1.3048420216327463,1.4444879833002662
22.38074041350841,1.2183061457946016,1.3594012184373643
22.199555931911128,1.3379629803429929,1.2873433425928364
22.367955856725256,1.2191730160788805,1.2957748260805315
21.998310642109125,1.361104920470249,1.3171685565749758
22.259034154160226,1.311743637091269,1.2644790504807797
22.16170411735572,1.3122165292781574,1.3090242526255635
22.40024467612017,1.403959009668664,1.1628368730648382
22.14183857624365,1.2640298049433256,1.3770731753009102
22.381300762499166,1.2651308768339276,1.2881371787284064
22.47909002497143,1.293595868332386,1.2319273685626435
22.19801153930789,1.2952715409531737,1.3033225895563882
22.797227031370763,1.193571958025708,1.218292571926329
22.637796582558245,1.1510628667920413,1.2855152139389008
22.544850716673523,1.3136082940369707,1.144180522210228
22.215661596402157,1.2172091083005396,1.3957354750384687
22.805789819587417,1.1697789790061812,1.2134710396470394
22.69408356018549,1.2173239769177797,1.2141810091193639
