JD,year,x_lo,x_med,x_hi,y_lo,y_med,y_hi
2405158.0,1872.997880439567,-0.12213056342240111,-0.11298438431219715,-0.102872728321748,-1.1483707010651552,-1.1110861722753942,-1.065362470685077
2405432.6240601502,1873.7497761982356,-0.12231034454495629,-0.1134158202383875,-0.10357337469465693,-1.1432481471636473,-1.1076272360364336,-1.0640661908835083
2405707.248120301,1874.5016719569055,-0.12248027597182082,-0.11382641260611531,-0.10422129760431066,-1.137932484989988,-1.1039812737246364,-1.0624027070128808
2405981.872180451,1875.253567715574,-0.12262317442890851,-0.11420323319893752,-0.10483577266690278,-1.1323853133170037,-1.0999497299173764,-1.0603975428804153
2406256.4962406014,1876.0054634742428,-0.12274912184219455,-0.11454376645805167,-0.10541184865358312,-1.1266056842989887,-1.0956986146494085,-1.0579005060491375
2406531.120300752,1876.7573592329127,-0.12285120696351308,-0.11485616237077478,-0.10595092824722328,-1.1206133052267453,-1.091111999834263,-1.0551937753902656
2406805.7443609023,1877.5092549915812,-0.12292577168188351,-0.11513740041037472,-0.10648665501734247,-1.1144279991448536,-1.0862952917713917,-1.0520140628337409
2407080.3684210526,1878.26115075025,-0.1229758483315046,-0.1153833531305242,-0.10697509487461583,-1.1080189922855745,-1.0812013639834985,-1.0484557080561585
2407354.992481203,1879.0130465089185,-0.12301464532141834,-0.11560815599820241,-0.10742176176037346,-1.1014160442884273,-1.0758769423177275,-1.0448275868066588
2407629.6165413535,1879.7649422675884,-0.12302485663555175,-0.11580609552804166,-0.10783428374865461,-1.094583320423296,-1.070325302176243,-1.0408649345494358
2407904.2406015038,1880.5168380262571,-0.12300703667258793,-0.11598052924977084,-0.10822085121171066,-1.087625808434619,-1.0645162984792271,-1.0365666216696536
2408178.864661654,1881.2687337849256,-0.12296790431969715,-0.1161276813949022,-0.10857803074405936,-1.0805255910081784,-1.0585097354157922,-1.0318644129019985
2408453.4887218047,1882.0206295435955,-0.12291026595380153,-0.11624961892572108,-0.10889882881198452,-1.0731785436746735,-1.0522675455821067,-1.0269392528480588
2408728.112781955,1882.7725253022643,-0.12282797795378447,-0.11634342512086557,-0.10919780023844478,-1.0656292502359803,-1.0456570114747459,-1.0216678178256369
2409002.736842105,1883.5244210609328,-0.12271873140000893,-0.11641539130660722,-0.10946266798586395,-1.0578631291427898,-1.0388414526357566,-1.0160219981324552
2409277.360902256,1884.2763168196027,-0.12259312743303868,-0.11645708053535231,-0.10969209081031606,-1.0500102613186826,-1.0318112924530323,-1.0102160099488255
2409551.984962406,1885.0282125782712,-0.12244368160760848,-0.11647530368201696,-0.10989567027297353,-1.0420456542141443,-1.0245323349334248,-1.0040751832662096
2409826.6090225563,1885.78010833694,-0.1222758518472019,-0.11646750047205663,-0.11006195522377718,-1.033862727133062,-1.0170387786195898,-0.9977460150375257
2410101.2330827066,1886.5320040956085,-0.12208476156360519,-0.11644033722187433,-0.11021195094017291,-1.025489683571255,-1.0093180228515148,-0.9910438318372704
2410375.8571428573,1887.2838998542784,-0.12187613571371336,-0.11639062306301798,-0.11031750820953638,-1.016894073589346,-1.001407290626759,-0.984128755605555
2410650.4812030075,1888.0357956129471,-0.12163765616720551,-0.11630375694268091,-0.11040945584032055,-1.0081554347976187,-0.9933205704384976,-0.9768865102379015
2410925.1052631577,1888.7876913716157,-0.12138175109945291,-0.11619945834244473,-0.11046600564037011,-0.9993194045915118,-0.9850110764229112,-0.9693277636155404
2411199.7293233084,1889.5395871302856,-0.12110948186523397,-0.11607566283115373,-0.11050343825399384,-0.9903995357198454,-0.9765311167129704,-0.961614674964303
2411474.3533834587,1890.2914828889543,-0.12081730684185486,-0.11591711645016742,-0.11050775641581001,-0.9811860647186618,-0.9678569605841358,-0.9536372506733799
2411748.977443609,1891.0433786476228,-0.12050498256295429,-0.11574222545131427,-0.1104917397466013,-0.9718995234050071,-0.9589879662174763,-0.9454747844844683
2412023.6015037596,1891.7952744062927,-0.12017815660297124,-0.11553463959990881,-0.11044288430354972,-0.9624227124212824,-0.9499523493443315,-0.9370663222611856
2412298.22556391,1892.5471701649615,-0.1198242000939859,-0.11530913096405893,-0.11037304427074335,-0.9529194057351789,-0.9406749856381326,-0.9283439351205951
2412572.84962406,1893.29906592363,-0.11946304923039325,-0.11506642531418884,-0.11027753693974722,-0.9431326477291304,-0.9311880034308377,-0.9193351178790724
