$\Omega$ (deg),$\omega$ (deg),$a$ (''),$i$ (deg),$P$ (years),$T_\mathrm{p}$ (years),$e$
184.4832374599548,61.770364970782296,1.1655993541282113,87.98405030475146,238.76867481754593,2022.4023262411179,0.4675044351921771
184.47926592305006,61.74059041173743,1.1660075815845103,87.98165524864989,238.92990714839752,2022.3938654214337,0.46756347402292775
184.47926592305006,61.74059041173743,1.1660075815845103,87.98165524864989,238.92990714839752,2022.3938654214337,0.46756347402292775
184.46068423753945,61.81951644150492,1.164413470722789,87.97196877718036,238.4813705458202,2022.4146697276547,0.46713388940307077
184.45578228410295,61.37975749614819,1.1698422527488597,87.97914062551853,239.71346311599385,2022.2909314499154,0.46724681616099734
184.44515767629653,61.29195894245082,1.1707667514324571,87.97809828965154,239.95781764589756,2022.2673695446206,0.46733700725767585
184.43862546430287,61.48108418517678,1.1680281379572963,87.9694806189795,239.2253146854358,2022.317338695423,0.466683750223389
184.40483126351225,61.93581441888265,1.1632750064304775,87.93754575073395,238.16369045956296,2022.4418500609263,0.46677750277274754
184.40507626647377,61.78647005584392,1.165834785721236,87.93954789921796,238.89821149791757,2022.4064656063547,0.46794301209973
184.40222988377172,61.770831923500545,1.1658462425587144,87.93697125766624,238.90243125654882,2022.403261495515,0.4679051558944063
184.40158998006245,61.835887178079645,1.1650095255134256,87.93543685730104,238.6833693624589,2022.4178077529725,0.4674398130076637
184.3711466545041,61.3690080224418,1.1707753047932474,87.93324758155912,240.28752786047193,2022.2944821996102,0.4683618565909923
184.3711466545041,61.3690080224418,1.1707753047932474,87.93324758155912,240.28752786047193,2022.2944821996102,0.4683618565909923
184.3711466545041,61.3690080224418,1.1707753047932474,87.93324758155912,240.28752786047193,2022.2944821996102,0.4683618565909923
184.35267585727095,61.62309206573201,1.1674470232815402,87.92291828410946,239.40936341077176,2022.3620921741604,0.4677502083856046
184.35503340892362,61.711067337275836,1.1669109240082414,87.92221875503186,239.32798256316883,2022.3874517811084,0.46801200129451914
184.35503340892362,61.711067337275836,1.1669109240082414,87.92221875503186,239.32798256316883,2022.3874517811084,0.46801200129451914
184.35503340892362,61.711067337275836,1.1669109240082414,87.92221875503186,239.32798256316883,2022.3874517811084,0.46801200129451914
184.37663364718156,61.45398243501495,1.170490788513116,87.93704955909406,240.20597170336376,2022.3209199917355,0.46900110556325564
184.37517326673515,61.760895327250694,1.1665053267686345,87.93200804009423,239.1083385860575,2022.3996030116232,0.46780507202287674
184.38647016551351,61.72710636709277,1.1664051496361494,87.93869742741158,239.04548131544172,2022.3906135495088,0.4677769917262111
184.3833003458721,62.09385354122084,1.1608987795355605,87.92791979928776,237.51429861461452,2022.4844612446752,0.46660590160861554
184.38379636792297,62.309572394206654,1.157921816597721,87.92350448908431,236.65282599887428,2022.538057481228,0.46563617099872995
184.38379636792297,62.309572394206654,1.157921816597721,87.92350448908431,236.65282599887428,2022.538057481228,0.46563617099872995
184.40346498180733,61.974049130168794,1.1629894572728423,87.93654049146946,238.00892349682996,2022.4547823039316,0.4673585356591058
184.40346498180733,61.974049130168794,1.1629894572728423,87.93654049146946,238.00892349682996,2022.4547823039316,0.4673585356591058
184.42435481728845,62.149325307250606,1.1611517999104433,87.9420006914506,237.47010204286167,2022.5036483270962,0.4675148609228759
184.42435481728845,62.149325307250606,1.1611517999104433,87.9420006914506,237.47010204286167,2022.5036483270962,0.4675148609228759
184.43466971407815,62.27263177629958,1.159327392188958,87.9441285118868,236.9564529934747,2022.5343366037157,0.46680956555362046
184.43466971407815,62.27263177629958,1.159327392188958,87.9441285118868,236.9564529934747,2022.5343366037157,0.46680956555362046
184.43466971407815,62.27263177629958,1.159327392188958,87.9441285118868,236.9564529934747,2022.5343366037157,0.46680956555362046
