JD,year,rho_lo,rho_med,rho_hi,theta_lo,theta_med,theta_hi
2415154.8925,1900.3684650362122,0.8291674237753143,1.1041479747910272,1.3235421116139414,183.6470501055509,184.3327928386819,184.79496468037289
2415379.406823308,1900.9831648821157,0.8579601769375754,1.1229721486580522,1.3347734962878006,183.73225633956244,184.38183924206928,184.82893180678235
2415603.921146617,1901.5978647280206,0.8854686621449906,1.140994785806082,1.345474843790965,183.81152145605293,184.4293250080979,184.8624057148407
2415828.435469925,1902.212564573924,0.9119355882236412,1.1580307802648973,1.3553133173570175,183.88984398268624,184.47623422208363,184.89662240514286
2416052.949793233,1902.8272644198275,0.9373240765006574,1.1741369043375893,1.3644120049544357,183.9635294584731,184.52232304220323,184.93090504761153
2416277.464116541,1903.441964265731,0.9615422409143369,1.1894957620328883,1.3729474514468671,184.03198107430484,184.56710231565984,184.96376688454632
2416501.97843985,1904.0566641116357,0.984510485215014,1.2041379370204022,1.380931404756612,184.0964860800266,184.6106234318285,184.99645867457943
2416726.492763158,1904.6713639575391,1.0063829288598678,1.2178773995275725,1.3883298402918054,184.1601183679528,184.65322820277558,185.02946138182682
2416951.007086466,1905.2860638034426,1.027347725791929,1.2308125057286008,1.395212822163244,184.221018956584,184.6947226372026,185.06194800330292
2417175.5214097747,1905.9007636493475,1.0473185061642818,1.243060491751772,1.4015265249923883,184.27917156435163,184.73591965503542,185.09361113301748
2417400.035733083,1906.515463495251,1.0664007777948898,1.2546478344012073,1.4072148185473716,184.33506177839314,184.77521580016227,185.1251410227827
2417624.550056391,1907.1301633411545,1.084524789927576,1.2656111591295423,1.4124225979300276,184.38934712255502,184.81531026951723,185.15668716323313
2417849.0643796995,1907.7448631870593,1.1016225053677826,1.2757700563205239,1.417151583843569,184.4421485221879,184.85400564647512,185.1879087354641
2418073.5787030077,1908.3595630329628,1.11775116461028,1.28528813521537,1.4212660539621507,184.49299102667052,184.89229932914503,185.21857348006435
2418298.093026316,1908.9742628788663,1.1329551774657285,1.2941387383985887,1.4248944113779556,184.5424503510427,184.92989371785075,185.24926754829872
2418522.607349624,1909.5889627247698,1.1474504853494039,1.3023455351890258,1.4283208322348286,184.5919329899017,184.96701147315608,185.27959273487582
2418747.1216729325,1910.2036625706744,1.1610137099181328,1.3099582162115904,1.4310443402292605,184.63862245577906,185.0037609698745,185.31065667749374
2418971.6359962407,1910.8183624165779,1.1738825864983544,1.3168479618637061,1.4332538284691358,184.68429939782803,185.04034528280093,185.3407878317858
2419196.150319549,1911.4330622624814,1.1858821328780793,1.323104135951106,1.435119027710761,184.73025740009464,185.07603705661393,185.3712970112335
2419420.6646428574,1912.0477621083862,1.1969055687049783,1.3287086015282163,1.4363516584687006,184.77513007030745,185.11167424035838,185.40133975748452
2419645.1789661655,1912.6624619542897,1.207459277244894,1.3338590383695328,1.4371383969689862,184.81880973861013,185.1465528351982,185.4315915327509
2419869.6932894737,1913.2771618001932,1.2169972995807243,1.338508668139998,1.4375756695623543,184.861420911491,185.18171398018194,185.46133808691056
2420094.2076127823,1913.8918616460978,1.2260920438478702,1.3423466945804141,1.4375557562553734,184.90384682346422,185.2165517657619,185.4915648234341
2420318.7219360904,1914.5065614920013,1.2342141273157212,1.3457643787636846,1.4372366975466349,184.94514454887556,185.25094292904248,185.5214358482723
2420543.2362593985,1915.1212613379048,1.2417386660087506,1.348476105805609,1.4363480528038683,184.9860442622991,185.28544982881212,185.5512697279768
2420767.7505827066,1915.7359611838083,1.2484635412128986,1.3507675272166182,1.435043001288797,185.02728275775198,185.3201865653216,185.58121721043898
2420992.2649060152,1916.3506610297131,1.2543617563834817,1.3525303957734445,1.4334813316733725,185.06729834132503,185.35427045602123,185.61142562608688
2421216.7792293234,1916.9653608756166,1.259645970820644,1.3539048702806897,1.431538141359747,185.1066400646945,185.3883051880911,185.64201877267243
2421441.2935526315,1917.58006072152,1.264427872007054,1.3546676024076896,1.4291079821972825,185.14627140659084,185.42240107510855,185.67253940869134
2421665.80787594,1918.194760567425,1.2684449217910554,1.3549103220738614,1.4262094553136087,185.18559617342436,185.45632615562906,185.7029023668638
2421890.3221992482,1918.8094604133285,1.2719305730898054,1.3546573329365823,1.4230664784142233,185.22427000696172,185.49038881099955,185.73406052569334
2422114.8365225564,1919.424160259232,1.2749474695052088,1.3539581068810391,1.419368366742645,185.26295484455392,185.52475791593966,185.7651818141209
2422339.3508458645,1920.0388601051354,1.277358581281943,1.3528506322740244,1.4155297187501674,185.30164062694772,185.558746477924,185.79585261977013
2422563.865169173,1920.65355995104,1.2791189027483647,1.3512979256244102,1.4113480930320241,185.34040195643516,185.59317153245067,185.8269754494263
2422788.3794924812,1921.2682597969435,1.2803608225240275,1.3493329726781687,1.4066547843683936,185.3788404282303,185.62728604663815,185.85814244651004
2423012.8938157894,1921.882959642847,1.2810547762124804,1.3468659700552434,1.4016801686127587,185.41745373112084,185.6617735058037,185.8900431996803
2423237.408139098,1922.4976594887519,1.2812513966141301,1.343895062793004,1.396333929393462,185.45563128187246,185.69629490457402,185.92189332295152
2423461.922462406,1923.1123593346554,1.280891758621665,1.3405965321655249,1.3906343440777071,185.49384245704897,185.73118744798057,185.953917877037
2423686.4367857142,1923.7270591805589,1.2800232852325248,1.3368407371486506,1.3845400319711414,185.5327216075563,185.76615450616143,185.98676654456295
2423910.951109023,1924.3417590264637,1.278483314882301,1.3326970677567633,1.3781542758175327,185.57149022308496,185.80140762213514,186.01927803321354
2424135.465432331,1924.9564588723672,1.2766193067339304,1.3280981840410975,1.3714876849132314,185.60995122668137,185.83658302965998,186.05223867520434
2424359.979755639,1925.5711587182707,1.2741583744188758,1.3230689702934733,1.364556030460539,185.64813298233972,185.87204264081797,186.08527541428728
2424584.494078947,1926.1858585641742,1.2711545510529132,1.317837401881552,1.3572964155558351,185.68676925796413,185.90789731006578,186.1189989476632
2424809.008402256,1926.8005584100788,1.2678026707271954,1.3121299989901474,1.3496111724202202,185.72580001667689,185.94419452787068,186.15276370795084
2425033.522725564,1927.4152582559823,1.2639741500832709,1.306079084918816,1.3416866264918645,185.76479850750286,185.98083129195507,186.18714024704505
2425258.037048872,1928.0299581018858,1.2597064724866274,1.2997751347827775,1.3334893994793413,185.80393760122186,186.01744828346506,186.2216236416885
2425482.5513721807,1928.6446579477906,1.2550013922029113,1.2930739018094746,1.3250055467907962,185.84341241058962,186.05484013368755,186.25670082201125
2425707.065695489,1929.259357793694,1.2498332396807008,1.2859243627431813,1.3161635602008754,185.8830541418026,186.09227348984004,186.29291235165402
2425931.580018797,1929.8740576395976,1.2442367879208196,1.2784401009386523,1.3070698331416981,185.9233679245867,186.13049300212987,186.32949753954674
2426156.094342105,1930.488757485501,1.2382141242534737,1.27056337457835,1.297640857953828,185.96413114490213,186.16895582239246,186.3660271053506
2426380.6086654137,1931.103457331406,1.2318933886631593,1.2623546417999445,1.2880718624391287,186.0054795698694,186.2080853708829,186.40359562237197
2426605.122988722,1931.7181571773094,1.2249868961918673,1.253855151966397,1.2781911820383354,186.04724142321848,186.24764595850417,186.44141462332576
2426829.63731203,1932.332857023213,1.2177291345919912,1.2450555448031935,1.267985667959762,186.08896319059934,186.2878739318507,186.47949877146482
2427054.1516353386,1932.9475568691175,1.2100965308256841,1.2358624775697566,1.257545682083082,186.13158403764677,186.3281947674962,186.51828204097404
2427278.6659586467,1933.562256715021,1.202065951450332,1.2264639555850172,1.2468357000919,186.17461112146614,186.36926441709036,186.55777407255053
2427503.180281955,1934.1769565609245,1.1937446986161593,1.2166314338942215,1.2358927774959896,186.2181205611036,186.41097022280934,186.59813596453074
2427727.6946052634,1934.7916564068294,1.1850345878925361,1.20646258824199,1.2247053935201002,186.2625415917588,186.4534573712084,186.63933271817695
2427952.2089285715,1935.4063562527328,1.1759843078752161,1.1961151385821904,1.2132938402990068,186.30720732864324,186.4968137015462,186.6814392437538
2428176.7232518797,1936.0210560986363,1.166567839141991,1.1854195861914159,1.2015429045344623,186.35311380072827,186.54106530579298,186.72465867080405
2428401.237575188,1936.6357559445398,1.156761723950636,1.1744137067856841,1.1895955912558813,186.39933292961905,186.58599809197315,186.7681067828116
2428625.7518984964,1937.2504557904447,1.1465735710839475,1.1631773336042843,1.1774904980969454,186.44657950394318,186.63144901173962,186.8129152425431
