$\Omega$ (deg),$\omega$ (deg),$a$ (mas),$i$ (deg),$P$ (days),$f$,$T_\mathrm{p}$ (MJD),$e$
342.2196992285223,104.79609756429633,22.011437269294866,65.99194503208084,314.85265848037335,0.7102060404946234,48707.34905677289,0.8003126213282686
343.0452072107646,104.38007732456249,22.277916558305332,66.24623837021267,314.875194027669,0.7707392222870991,48707.553476637695,0.80760927466238
342.22559768700626,104.7880515085829,22.05034064332597,66.03449667543423,314.85490830492955,0.7166509264576995,48707.37386875646,0.8001608670007104
342.4560838264963,104.47945844204254,22.453761776107175,66.55775824736564,314.86760019671783,0.7694672016709332,48707.34826076776,0.8054825233010998
342.9895199409905,104.09654114189733,22.405460672103583,66.47166201238399,314.834467449577,0.7598262922295086,48707.69215918798,0.8080919307704704
342.3542168671998,104.92232067650839,21.930983257082403,65.83739158004809,314.87486848807544,0.7178834339370445,48707.33206200786,0.8010133421924841
342.64969426025715,104.77949255787702,21.84906306721903,65.74573623838907,314.84795792202186,0.7356014612607169,48707.86707705725,0.8010901369536538
342.84309450016616,104.2790849599576,22.628177411740676,66.71827682326538,314.8854086576015,0.7539321070373752,48707.355011586566,0.8097128656572548
342.5237844230661,104.37912728505202,22.56002059175293,66.65011809952834,314.87208494436237,0.789359947475454,48707.27274854155,0.8064473486314522
342.6233085100548,104.75033515483724,21.793813308996615,65.69318084789745,314.8434829722158,0.7396224755639383,48707.66470801132,0.8009164786934898
342.5573466234801,104.76168984402406,21.747604155917408,65.62206297289951,314.8415594351623,0.7860125222978105,48707.41968731303,0.7990858515953732
342.59027697811825,104.45174241190112,22.33763317017735,66.38331416055458,314.85466629740597,0.7653995173918194,48707.55149990553,0.8053033090009525
342.44135927900106,104.88025490402092,21.83410629850258,65.73977743255618,314.85982773634646,0.6849250193898473,48707.53476712154,0.8005153461074279
342.92230062377524,104.22668319100866,22.421648244518618,66.50183583962925,314.8748170750213,0.7624639419234299,48707.07020244934,0.8099834717163173
342.67004562138874,104.5921736209579,22.190339054453037,66.15929983328878,314.8634084958436,0.7862521062979058,48707.70048088813,0.8039473290605011
342.9261882825949,104.0395325045165,22.52709496607244,66.60471721357453,314.844802254098,0.9071409026970433,48707.22164525604,0.8073081024079494
342.97778275415243,104.01151700744634,22.53837461218732,66.61646313813164,314.8458699989431,0.9246029008138692,48707.205411305185,0.8074719584163568
342.4843029343194,104.84498028386079,21.932109950437095,65.88965841773205,314.85845615458123,0.6502192770056548,48707.85352192493,0.8022883111062608
343.0430678948049,103.9336741726266,22.6980277565228,66.78002861247377,314.8431114217647,0.8748414311461202,48707.527934826445,0.8093699658382998
342.9024790674689,104.042980178908,22.640574765226212,66.71295100500683,314.8424838851717,0.8817628239094052,48707.54603670351,0.8079031191329831
342.8048831064788,104.2711110203266,22.395728823487804,66.4309739471546,314.8551874973259,0.9633495698976368,48707.25563296769,0.804979681742321
342.29978373938735,104.83126174706783,21.93364904026156,65.85408261211471,314.84394380142464,0.9327558871631942,48707.631715832744,0.7981466971532889
342.5774589976303,104.59050538753665,22.11696633437575,66.08816732719986,314.8490657385867,0.9379474318574244,48707.537859370466,0.8010927452782259
342.92294503801895,104.26798571318393,22.434262719691866,66.48114054585216,314.85831252705896,0.88787213618255,48707.64626072021,0.807690851850922
342.625044071072,104.38407079677131,22.43245420364436,66.4750061320098,314.86244582257564,0.7400031482330739,48707.34261045093,0.8055291250260741
