MJD,x,y,PA,sigma_maj,sigma_min
58601.106553, 16.9023, -1.4411, -50.5961, 0.0183, 0.0126
58615.013389, 17.6171, -3.4004, 33.1502, 0.0308, 0.0098
59640.213272, 16.4982, -13.8899, 152.5985, 0.0114, 0.0099
