K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
5.032958375881067,1.8507971085864692,7.381919579306553,23.602658183313835,0.5729448514349175,1.5580354948520712
2.4810753588846883,5.301126934796045,10.439258625023896,21.440652611662998,1.8387065783856344,0.8605659966199796
5.243013642547979,2.2164557432317644,7.789135628786704,22.17663112336259,0.7555858567961554,1.7873341109542318
3.4369438450757905,3.915148675806957,9.436419776575809,22.362513779113264,1.300063313467535,1.141270734121004
3.878514179925232,3.434993659739621,8.98763475187086,22.421982876072097,1.1511264706724524,1.2997579563884327
3.7400937691129106,3.5437573924579167,9.040906749530851,22.623351364017218,1.1560761458782474,1.2201267499354214
4.61377402305374,2.702284603479688,8.357148827378474,22.31109531781302,0.916671495973763,1.5650887143239978
4.13588045080514,3.3334219996241123,8.778708071666388,22.22040988322723,1.094557158050279,1.3580511416734684
3.7135962628424486,4.239219336809707,9.405201380568947,21.1300781952791,1.506858226200601,1.3200220684177222
4.881778652301912,2.652257758539358,8.17587602839535,22.030244011460145,0.885057523481431,1.629047897128333
4.819173732548137,2.4810580956277057,8.003562705748266,22.57899043161369,0.8161493228431239,1.5852774207157145
5.044450377266685,2.0618643156493914,7.715254927073797,22.833424123587925,0.6684480584324337,1.6353903770242342
4.427731324280817,2.9480301721937927,8.478903462198877,22.049949625799623,1.03875131610081,1.5601304843548727
4.054368652865378,3.2748843966130696,8.770834501860215,22.477698533752637,1.0817639743134093,1.3392442040980994
3.8887953374592668,3.47976890870699,8.92891837234085,22.29920323593584,1.1733873054953938,1.31131210214184
3.923562347450253,3.2271582326860377,8.928828377034236,23.134396938804706,0.9911395707232139,1.2050223820357495
3.751441733485178,3.571460034393724,9.137947517173977,22.892519555831324,1.099938867025679,1.155369661232401
4.71277906441904,2.5685161261991594,7.987923045199389,22.497891326345233,0.8755649633567505,1.6065089826601953
4.908254411192889,2.445803927969501,7.940064286010314,22.451530311522706,0.8261738203220109,1.657970719416621
4.198722162726984,3.45909474825618,9.002716469550055,21.545813251975726,1.2151502805977308,1.474975039860269
5.033815644145106,2.522144325019215,8.088541503122356,22.20565997843253,0.8045567638094321,1.605772668951378
