$\Omega$ [deg],$\omega$ [deg],$a$ [''],$i$ [deg],$P$ [years],$T_\mathrm{p}$ [years],$e$
4.5800311717611955,291.2191748910432,0.7562245698581641,87.1940427667801,134.65222474833135,2030.0154952788894,0.4836350177269443
4.662208093916154,292.60199374206974,0.7500458007794973,86.99476727798572,132.3872466810179,2030.0542569868614,0.48481110148605305
4.550540846337547,291.2680962991954,0.7561775938373334,87.18555983983742,134.53009128035453,2029.971873595844,0.4852410644289837
4.515611057799546,290.62579056447584,0.7615750116069948,87.18081366762803,135.46638109179523,2029.9641751212757,0.4798596633200474
4.484030573340152,291.7144009270819,0.754381331779396,87.09679160015101,133.92579974212939,2030.0065241275609,0.48448330060482503
4.578060164793687,291.40244922284336,0.7575067735585883,87.14906933174072,133.66473874650478,2029.822606177638,0.48972262054948146
4.575721915709465,292.18987306354285,0.754534833439336,87.08728948566102,134.08795485274925,2030.2340372662811,0.4761072297974292
4.604613892585988,291.8981087297299,0.7517435880401412,86.98866036412329,132.5644600953752,2029.8298335819863,0.49255762942593806
4.632377008299938,291.21101746207455,0.7554990526556976,87.09014664948552,133.22939507911678,2029.7072203387856,0.4936793121277834
4.592196925826133,290.8726392720193,0.7574942808146037,87.10134261049745,134.11107301095507,2029.846621502762,0.48552295072139395
4.46932928298822,290.6820788305462,0.7621168710897652,87.10916031397797,135.33256747846272,2030.0000405925218,0.47723805949121717
4.44284979093396,290.89717267505864,0.7596461731928548,87.03480085643506,135.17172696133764,2030.0840678626716,0.4741357781213748
4.505215795982562,291.08567221679334,0.757379605566751,86.89820000793904,134.17153866941854,2030.0042357937932,0.47858182809262695
4.479032962943493,290.5420651106638,0.7615214239990143,87.14787550311344,135.22724708707648,2029.9528687903126,0.4799157711146252
4.4627312192469395,290.4631305515827,0.7613684572546916,87.18092686199913,135.09889299005118,2029.8586307541605,0.483674393362708
4.666389136869885,292.2458214343423,0.7535800271868235,87.18542348848364,133.7716862256723,2030.1522888054121,0.4793560546622415
4.602422256106978,292.5415945617197,0.7504874748277259,87.05026043505985,133.2317396549936,2030.2098169014862,0.4794002297669974
4.707772411151528,292.50158021445196,0.7506449521943716,87.11160138488546,132.3994556205322,2029.9646244688104,0.48870601955764786
4.64189538588628,292.0393223455511,0.7529839917036395,87.16603730913131,131.90669281772742,2029.6730776872464,0.49676292174036635
4.682281440454058,292.52980854275444,0.7481979683182368,87.08036176620422,131.7912156622544,2029.8257774889823,0.4975122102089537
4.522008711134598,290.50018801735524,0.7628384434376488,87.11535444290196,135.06825159236257,2029.8954026713045,0.47919490310781093
4.730233196490382,293.19790041802986,0.7456981702869666,87.05061848173763,132.0622484563557,2030.1076823968492,0.4888973592966413
4.6676870659528795,293.957099140504,0.7424705701042806,87.02626848367682,131.35121249696468,2030.142988632093,0.4906116754575997
4.606299637733597,289.74714753025535,0.7643639436426706,87.16660897361062,135.2673668290524,2029.7404977864464,0.48495984303436573
4.537383927041711,289.06709615045395,0.7708438294509087,87.19505248584544,137.00623718903935,2029.8327077137494,0.4757701552011591
4.679640944521602,293.2174691327827,0.744847779923888,87.0726845220298,131.30783716003836,2029.9270676636108,0.49713509718463994
4.658813590869435,291.8990275371187,0.7534802350481065,86.97806784656595,132.9874613006558,2029.8897607489573,0.4876368922994971
4.593004991728208,292.0898274430773,0.7509993709466631,87.17993109139665,133.22643580748692,2030.0452729315234,0.4876269822558601
4.754303091661517,291.64690080645926,0.7525204787850315,87.0491971225787,132.32116281952418,2029.718133190005,0.4958578497103815
4.536236622707532,291.5561752536831,0.7540785980695828,87.04837927883362,133.53312600751286,2029.94781780773,0.48629660203194247
4.662219079393146,292.1005447172186,0.7534489248046484,87.17631131605953,133.46217378157345,2030.026224899197,0.48447926544180847
4.550673372898168,290.77876149990686,0.762254440332543,87.10841641638532,134.8433334460834,2029.950967795839,0.4786755532751124
4.625528334188719,290.4267570683823,0.7637707560231719,87.26960516885539,135.4827210389014,2029.8631272949629,0.4835400664562043
4.5383165115442745,292.6194651171013,0.7490801778571708,86.91109647487444,132.26150095025238,2030.0392778615158,0.48607554603625763
4.576677576677885,291.093041697393,0.7581504405325362,87.17871176093418,134.78496863624855,2029.956608075048,0.48303217365305223
4.619312827647461,292.4480124332013,0.749841926890016,87.02043433008359,132.45382122771773,2030.0250920899414,0.4872650228135759
4.45492790950232,291.1446982386746,0.7577427625042871,87.1203736640081,135.2858085102338,2030.170802686838,0.47427835734296797
4.7736582627207005,292.53304784320653,0.7488792093613877,87.03657101680545,131.37317308389234,2029.748171757559,0.4992375533419414
4.665897285490799,292.4953993297426,0.7490314778796224,87.02697276845686,131.92866541026967,2029.8850574724122,0.49404293088472484
4.553406279606496,291.0261752380079,0.7596702501357011,87.20426953349897,135.6608632890664,2030.175410599787,0.47288349733920054
4.664243386299149,292.6023649921552,0.7475515605714673,86.97913521704464,131.27258536434493,2029.7699507124644,0.4997712348852691
4.636648765236805,293.48235128755425,0.7436636138890331,87.04870799043137,132.0585611160625,2030.2238699057016,0.4852121221675588
4.450814467824844,291.9192777079767,0.756349119064981,87.01605919606196,134.8565927910549,2030.3610128167793,0.46570905810885205
4.754494240855262,291.8519777485897,0.7502897629808825,87.15099282037247,132.33248195312868,2029.7469518371067,0.49789029781205973
4.610184627381525,292.56282310486506,0.7468270127421722,86.95406933277464,132.25197786195346,2030.0579169661999,0.4877293031500882
4.695706188967175,291.19376126446,0.7595262919361824,87.27524531753726,134.17173811105258,2029.8223335027922,0.4883518177434075
