$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
19.186045188250407,1.9383610640360815,1.4390607159183615
18.706662678864966,2.1184849196057822,1.5594031770816141
19.195524851607907,1.952380545635483,1.4255364318894577
19.151625741266972,1.96016134100674,1.466525882343743
18.924983138708647,2.030502260512586,1.500957011672019
19.051551030655244,1.9413560879967902,1.5770927771770802
18.943925273815935,1.950317805320065,1.564192629544825
18.868457017728097,2.138154833300163,1.4606825807262696
18.866782697909233,2.1435480542255134,1.4740850798962355
19.004696398650875,2.010735436715347,1.510073001295954
19.059929464488775,1.990022663457796,1.5006781108924112
18.824562239956595,2.118278872487068,1.4784200615818075
19.106460321026532,2.063410774587029,1.396745495672901
19.41536343727549,1.8129343835953398,1.4869429413342385
18.803633078400303,1.9573065694665401,1.6799351266617204
19.075810879710325,2.0480639614038023,1.3972366055298207
19.196228078267993,1.8719807994033355,1.4945581928203089
19.127876322722145,2.0417116459648286,1.4061310711645563
18.983534620960516,2.0351768775342975,1.5516361208335714
19.056348301684654,1.9677345376438984,1.5170345397870866
18.88396464177809,2.006279868818351,1.6072198609120412
18.793951064693573,2.1058939796318397,1.4758454473791218
18.797516222129055,2.102304688833996,1.4694741436278895
18.968732594429277,2.070553083106988,1.5055988978643984
18.9304280031764,2.157262474873151,1.43984677621075
19.12580783469962,1.887347932393519,1.5385808294539285
19.199328338995723,1.885860441237828,1.5319856329929562
18.839035802409448,2.1341481489569367,1.4351127234750045
18.97949941233186,2.0238146512772794,1.5362550065990184
19.109658142750007,1.9945413392374007,1.4515712632597215
18.89590471302837,1.9498378455364713,1.6094113694842245
18.951015134207395,2.1467080998416965,1.4322770621816052
19.021505164604566,1.977127749523019,1.5498524557148319
18.898683534363393,2.0347298627364228,1.5251862781899215
18.828359719714594,2.1038884280280983,1.4899801765162421
19.12580151659073,1.9229813890195409,1.5121048720867323
18.889684300050465,2.109166387355015,1.4178153708503178
19.062774693095722,1.9127137161154324,1.600301265488643
18.87498002885411,2.0857425354488295,1.5049545704917298
18.847778287221903,2.036485987272385,1.521482653462497
19.110032087586237,1.9964585325860373,1.477363265218708
18.888159023329646,2.0257469414339764,1.4740592048063712
18.805507880323162,2.069938475702106,1.5075953972768454
19.173767030086754,2.018484808508223,1.4032646955959953
19.093320471385223,1.8643877674379903,1.5572002876144273
18.819851112027905,2.203833203437928,1.447691132501758
19.06051613166665,2.0243320147154074,1.4552381903937421
19.00054659235176,1.9255399963200297,1.5840813896378698
18.704032098465728,2.1337540638980235,1.514300083531642
18.77058451566981,2.1571577506918325,1.4575718010641112
19.075698156840797,1.9402369648167797,1.5382730185900026
18.729872575823727,2.0426912623217652,1.573429785867806
18.794613355378743,2.015648128442888,1.5872574241094684
18.87873559300218,2.038599099374329,1.5139392558891749
19.05074794055016,2.036101759372904,1.427551824755726
18.951455322641813,1.9784444417399296,1.530210980379921
18.992657295203223,2.0634027077172514,1.4678645838017363
19.184018179045687,2.0002182450046053,1.45690885057944
19.168904533764348,2.017348838303283,1.3766839095784749
18.875229126176094,2.0710807395995348,1.536573958278644
18.92200285518277,2.0234211912401925,1.493504224304334
18.958339358805336,2.11730927313823,1.395219140582628
19.373884372745376,1.9127577324330172,1.4412054414285704
19.288372323680843,1.948436241322348,1.4325236843448086
18.597247586460337,2.0267483066885585,1.6793315461062592
19.299521182642764,1.943070836136149,1.4151079985732622
18.670185262848776,2.099827033689412,1.5931898076741295
19.18845381381586,1.977830524749275,1.4254119481694831
18.73369841056371,2.1057122774360217,1.5391162312384408
18.80959968893263,2.0593602099586397,1.4939067460746513
18.638972013703942,2.0950128064955233,1.551112158285592
19.055978988764938,2.0906975454656287,1.4025253529680044
19.020729270960203,2.0582929310775686,1.4296316174300878
18.90878375963339,2.0223622898642537,1.5536505622107832
19.200324919967414,1.8870912684560814,1.507168116977931
19.02095451358927,2.022900891217304,1.4510714089385672
19.151760678086237,1.8765125679745758,1.5833240101589816
18.787430092021534,2.180825623160046,1.4151006860450384
19.089638466362835,1.8413169183713096,1.6081579740826986
19.125901917953783,1.8691909665322897,1.5538403340429994
19.162734798143113,1.894628174211328,1.4783770401578875
19.053001406555072,1.9600604034843374,1.5074100105416683
18.966902562495207,2.016811626512476,1.4937449611143079
19.09075152622717,1.9673103507815848,1.4577306501975775
19.23419001258712,1.9503572469997024,1.4359878086377889
18.75344043309215,2.0468379750919485,1.6104667226657976
19.308358012135056,1.9352173652018652,1.370681242059025
19.083630722402006,1.9791498524358793,1.4586229235304222
19.17195962784082,1.9863685318252657,1.432853486338465
19.26071090205968,1.9791415252972937,1.4133848633748183
18.872730327022325,2.0151573068539474,1.5461179472298459
18.90994545089889,2.004011701122546,1.5409926783060455
18.963201745363317,1.9834314307370406,1.5464443819959308
19.121526064250887,1.9425578001760995,1.4800247791134906
18.71152971747864,2.1112087274585236,1.5575510349725414
18.883210928884022,2.0474888140364036,1.5478542806431357
18.969828668483917,2.0392781740393384,1.5097938128921518
18.670518131355465,2.1221243465627255,1.5966558823677461
19.040201138081496,1.9599905778837312,1.5665754892018267
19.03608726257805,1.9784088636831505,1.5577846035341103
19.013227299851906,1.932885879336404,1.6317125737761857
19.128852901795128,1.8921787706368713,1.6270985889914837
19.065086373309573,1.932470663229825,1.621571047478704
19.02121023651352,1.9563945414905897,1.6251555469194117
18.947635453945335,1.9755617132908634,1.6288442281368398
