$\Omega$ (deg),$\omega$ (deg),$a$ (''),$i$ (deg),$P$ (years),$T_\mathrm{p}$ (years),$e$
184.65424835119873,51.813333747723526,1.3064916924858136,88.39667112129642,275.8022594643728,2019.8137021636662,0.5005752963823106
184.66073854079278,47.04925225161132,1.4188469457209847,88.43278247463985,309.11232060435236,2018.4998790051716,0.5286067324319234
184.61428059066054,47.99350174828639,1.3873300398793496,88.41674685321364,300.880710511484,2018.7348194702222,0.5189227413646178
184.48319967608703,37.57193517786225,1.8256152167784807,88.38956001073348,445.4142505429866,2015.5583624856029,0.6151356978948265
184.4440391214128,36.16578114949115,1.8397149571621525,88.43346753401181,450.0979353328033,2015.0199133992157,0.6137154756726547
184.4966608116779,38.384876525524376,1.8290521464801581,88.40011746743323,442.95824743977323,2015.9436642874286,0.61951160067699
184.55510495322417,38.137293726664396,1.8401045183523688,88.43864912828798,449.0229874785567,2015.8851759438105,0.6218375295205572
184.54622943805913,35.86857307996381,1.9110569928612684,88.460152288129,473.3204430753807,2015.0918047350613,0.6303043531379222
184.60609103904102,36.563621892222976,1.8977000121080223,88.50652268609231,469.73612421412014,2015.2949962965586,0.6286968609032363
184.60321542190798,36.54986982422562,1.8979321108014497,88.50400608708253,469.62442032775795,2015.2903985378753,0.6287327675410374
184.56471257938577,38.00703197273347,1.807874252737565,88.51196957362576,438.0330122973483,2015.7998858234141,0.6140758014644654
184.59031052879945,37.82257392859208,1.8144152396731175,88.5137950996238,438.65323817541525,2015.692960325489,0.6139640158576258
184.5816153542559,38.021243334490045,1.7935928301525563,88.40671806302532,430.0947549709235,2015.7270152260403,0.6087751919636557
184.62810598778415,38.41497733256548,1.7691810068447373,88.43802805604473,423.97355941668957,2015.851433155295,0.6048064361348392
184.59376122741773,37.667064211695106,1.7967973044663548,88.4989953183534,431.7971242778816,2015.6758267905602,0.6103130122771465
184.644402420914,40.67256331638694,1.691250871882783,88.48473681128155,397.93405271785497,2016.6415714236125,0.5931348937678707
184.53274210927543,39.42376393146796,1.6708967841038254,88.41044536565401,390.74500370552397,2016.061931165772,0.580927497222849
184.651042521207,46.927322054414,1.4310647215947396,88.34994407693884,312.4580348090366,2018.472022198959,0.5331088909127558
184.64145158184448,47.316729761683504,1.4151365520389136,88.34536061925101,307.4745448517162,2018.5731879149864,0.5292149305527513
184.59284863248615,45.09238307749917,1.4879601589482991,88.44040772450172,331.4208023489193,2017.8586895084554,0.5439766385855155
184.59580423118445,44.884102605534245,1.4716309089739243,88.3750697574572,327.9265179756529,2017.7940236441698,0.5377006160019174
184.6009329561132,48.422137058834764,1.411805531561866,88.39129032842465,305.7333409196437,2018.9587435125404,0.5326685673328757
184.68475881365464,44.052220436073746,1.5118872462991368,88.4671276000918,339.0951654905923,2017.5821769600707,0.549345658555415
184.54426225513023,42.168285513544745,1.592702953608862,88.46062603317834,365.2207324297014,2017.0888998921746,0.5705059305623216
184.6090559010018,40.73247469670315,1.6287174355707856,88.44213416656633,376.9707357941234,2016.5752305902731,0.5749463049391762
184.58468523258975,45.459626822046225,1.4851761740157403,88.35785835974808,330.301366486808,2018.0422323310752,0.5462298674834225
184.6025635167419,41.87595827354223,1.6042085646340167,88.4093773064864,368.533202445071,2016.927619136813,0.5719473355627356
184.56911175069223,46.68129964152145,1.4002004375496413,88.36186484008843,304.25326620226093,2018.2541186657943,0.5164280087710489
184.64904571450293,43.568459618896725,1.529164187194246,88.45164293306698,344.4904601275414,2017.4284769324393,0.5537938670974386
184.7591687856899,43.5348638172594,1.5285859177041579,88.45741580854998,343.4150999945516,2017.3663428902978,0.5522190451032515
184.78737602097303,49.55868880305643,1.3343827953526604,88.36706366424599,283.78770676478445,2019.1294600262868,0.5016861457981554
